Date,Open,High,Low,Close,Volume
2021-06-30,1.3844,1.38726,1.38043,1.38053,86099
2021-07-01,1.38052,1.38378,1.3762,1.37784,100406
2021-07-02,1.37784,1.37962,1.37313,1.37923,101549
2021-07-03,1.37924,1.38444,1.37903,1.38244,12554
2021-07-05,1.38189,1.38617,1.38167,1.38524,51619
2021-07-06,1.38523,1.38981,1.37874,1.37925,115524
2021-07-07,1.37926,1.38414,1.37537,1.37916,98516
2021-07-08,1.37915,1.38174,1.37414,1.37661,149647
2021-07-09,1.37661,1.38764,1.37552,1.384,149723
2021-07-10,1.38404,1.39088,1.384,1.38924,22911
2021-07-12,1.38911,1.39097,1.38387,1.3885,108375
2021-07-13,1.38851,1.39051,1.37998,1.38457,104431
2021-07-14,1.38455,1.38917,1.38011,1.38524,113531
2021-07-15,1.38526,1.38988,1.3813,1.38477,99366
2021-07-16,1.38478,1.38617,1.3772,1.37828,84987
2021-07-17,1.37833,1.37889,1.37565,1.37565,13407
2021-07-19,1.37677,1.37706,1.3662,1.36895,106577
2021-07-20,1.36893,1.36895,1.35717,1.36133,110326
2021-07-21,1.36135,1.36941,1.35908,1.36933,82935
2021-07-22,1.36932,1.37869,1.36832,1.37462,82476
2021-07-23,1.37462,1.37796,1.37196,1.37492,72836
2021-07-24,1.37492,1.37631,1.37402,1.37449,7874
2021-07-26,1.37503,1.38324,1.37366,1.38289,58344
2021-07-27,1.38287,1.38921,1.37664,1.38835,87267
2021-07-28,1.38835,1.38949,1.38446,1.38832,61637
2021-07-29,1.38832,1.39816,1.3843,1.39655,70207
2021-07-30,1.39656,1.39832,1.38903,1.3912,57667
2021-07-31,1.39125,1.3913,1.38877,1.38959,10335
2021-08-02,1.38963,1.39323,1.38839,1.38849,47420
2021-08-03,1.38848,1.39385,1.38753,1.3905,58983
2021-08-04,1.3905,1.39574,1.38998,1.39115,58289
2021-08-05,1.39115,1.39488,1.38719,1.3928,67407
2021-08-06,1.39279,1.39379,1.38608,1.38708,51674
2021-08-07,1.38708,1.38812,1.38646,1.38693,6990
2021-08-09,1.38702,1.38942,1.38455,1.38507,49534
2021-08-10,1.38506,1.38721,1.38324,1.38377,43473
2021-08-11,1.38378,1.38757,1.38023,1.38649,49264
2021-08-12,1.38648,1.38875,1.38226,1.38319,42688
2021-08-13,1.3832,1.38621,1.37904,1.38561,37045
2021-08-14,1.3856,1.38749,1.38558,1.38576,6888
2021-08-16,1.38553,1.38783,1.38277,1.38472,41511
2021-08-17,1.38475,1.38526,1.37335,1.37377,48684
2021-08-18,1.37377,1.37706,1.37231,1.37469,37612
2021-08-19,1.37467,1.37859,1.36524,1.36708,61149
2021-08-20,1.36706,1.3673,1.36019,1.36257,48152
2021-08-21,1.36257,1.36338,1.36144,1.36144,7730
2021-08-23,1.36156,1.37211,1.36096,1.37156,40397
2021-08-24,1.37155,1.37474,1.36936,1.37145,45414
2021-08-25,1.37145,1.37429,1.36962,1.37213,40680
2021-08-26,1.37212,1.37675,1.37094,1.37117,50910
2021-08-27,1.37116,1.37807,1.36796,1.37673,63028
2021-08-28,1.37674,1.37797,1.37543,1.37544,9809
2021-08-30,1.37553,1.37749,1.37337,1.37576,31182
2021-08-31,1.37572,1.38077,1.37426,1.37477,60150
2021-09-01,1.37475,1.3798,1.37309,1.3789,55176
2021-09-02,1.37889,1.38361,1.37666,1.38231,41910
2021-09-03,1.38232,1.38744,1.38177,1.3861,60273
2021-09-04,1.38615,1.38915,1.38539,1.386,7305
2021-09-06,1.38553,1.38677,1.38181,1.38271,24450
2021-09-07,1.3827,1.38564,1.37674,1.37902,85786
2021-09-08,1.379,1.37959,1.37261,1.3763,58766
